Time (s), Thrust(N), Chamber Pressure(MPa), Mass Flow(kg/s), Mass Ejected (kg), Mass Flux (kg/s/m^2), Burn Area (cm^2), Kn, Regression Rate (m/s), Regression (mm), Exit Pressure (MPa), Force Coefficient, Free Volume (cm^3), Volume Loading
0.001,11.229985644157145,0.101325,0.0,0.0,0.0,240.6860525713114,337.7777777777777,0.0,0.0,0.0017459462901516412,1.55540230640485,6017.151314282784,9.796081914886312,
0.002,354.64571452958165,3.199868473866325,0.030629831052664504,3.0629831052664505E-5,2.4563880359596095,240.71044557487744,337.81201081475615,8.04448216822529E-4,8.044482168225291E-4,0.05513741417142961,1.55540230640485,6017.170678191656,9.795791627945139,
0.003,355.02838350060324,3.203321188296903,0.16637844720772946,1.6637844720772946E-4,13.335539063461015,240.84287328872693,337.9978593025368,0.004367286626918252,0.005171734843740781,0.055196908412248974,1.55540230640485,6017.275861177626,9.794214815770264,
0.004,355.4114571135041,3.2067775536972785,0.1665579705067791,1.665579705067791E-4,13.342587872428592,240.975371000321,338.1838060248531,0.004369595057720585,0.009541329901461365,0.05525646556347713,1.55540230640485,6017.381157656641,9.792636302206015,
0.005,355.7949357874222,3.210237573849216,0.16673768363529323,1.6673768363529323E-4,13.349640255097045,241.10793874514803,338.3698510315093,0.004371904658882508,0.013913234560343872,0.055316085690278266,1.55540230640485,6017.4865677487105,9.79105608545332,
0.006,356.17881994191964,3.2137012525383057,0.16691758678989962,1.6691758678989962E-4,13.356696213201108,241.24057655871363,338.5559943723338,0.004374215430972135,0.01828744999131601,0.05537576885788246,1.55540230640485,6017.592091573967,9.789474163711242,
0.007,356.56310999698525,3.2171685935539887,0.16709768016742518,1.6709768016742518E-4,13.363755748476297,241.37328447654073,338.74223609717944,0.0043765273745578325,0.02266397736587384,0.05543551513158608,1.55540230640485,6017.697729252667,9.787890535177002,
0.008,356.9478063730327,3.22063960068954,0.1672779639648969,1.6727796396489688E-4,13.370818862658968,241.50606253416944,338.9285762559229,0.004378840490208245,0.027042817856082087,0.055495324576751714,1.55540230640485,6017.803480905192,9.786305198045941,
0.009000000000000001,357.3329094909027,3.2241142777420864,0.16745843837954097,1.6745843837954097E-4,13.377885557486248,241.63891076715703,339.1150148984652,0.004381154778492268,0.03142397263457435,0.05555519725880814,1.55540230640485,6017.90934665205,9.784718150511507,
0.010000000000000002,357.71841977186216,3.2275926285126006,0.16763910360878415,1.6763910360878415E-4,13.384955834696093,241.7718292110782,339.3015520747316,0.004383470239979067,0.03580744287455342,0.05561513324325054,1.55540230640485,6018.015326613871,9.783129390765332,
0.011000000000000003,358.1043376376063,3.23107465680592,0.167819959850253,1.67819959850253E-4,13.392029696027244,241.90481790152484,339.4881878346718,0.0043857868752380695,0.04019322974979149,0.05567513259564062,1.55540230640485,6018.121420911412,9.781538916997135,
