Time (s), Thrust(lbf), Chamber Pressure(psi), Mass Flow(lbm/s), Mass Ejected (lbm), Mass Flux (lbm/s/ft^2), Burn Area (in^2), Kn, Regression Rate (ft/s), Regression (in), Exit Pressure (psi), Force Coefficient, Free Volume (in^3), Volume Loading
0.001,2.685724514816563,1.4695943005992955E-5,0.0,0.0,0.0,270688.0625697024,245.08497461439364,0.0,0.0,5.514780868769528E-8,1.65466949065048,1.8359455099103734E8,9.818145732737083,
0.002,45.21359431826604,2.4740303837257393E-4,0.048993931673681906,4.8993931673681905E-5,0.36502701745022836,270701.991908294,245.09758644353272,0.002639265887680027,0.031671189638682255,9.284014930761091E-7,1.65466949065048,1.8359540833644947E8,9.817724603686173,
0.003,45.23178980182334,2.475026017447103E-4,0.19546685199491548,1.954668519949155E-4,1.4557282957259396,270757.5456586212,245.1478856305727,0.010527490394377382,0.15800107032865465,9.28775113319236E-7,1.65466949065048,1.8359882881329337E8,9.816044461532735,
0.004,45.249988517880794,2.4760218280467654E-4,0.1955455054704208,1.955455054704208E-4,1.4557257591232144,270813.0983260721,245.19818383716046,0.010529566124756813,0.2843558597823832,9.291487999374879E-7,1.65466949065048,1.8360225066649538E8,9.814363643310598,
0.005,45.268190463768086,2.4770178153786087E-4,0.1956241729118782,1.9562417291187818E-4,1.4557232126183495,270868.6499032262,245.2484810565773,0.010531641797974015,0.41073555731392103,9.295225528760336E-7,1.65466949065048,1.836056738963E8,9.812682148899722,
0.006,45.286395636812195,2.4780139792963685E-4,0.19570285430773973,1.9570285430773975E-4,1.455720656141252,270924.2003826602,245.2987772821022,0.01053371741375625,0.5371401622340487,9.298963720799854E-7,1.65466949065048,1.8360909850295123E8,9.810999978180169,
0.007,45.30460403433738,2.4790103196536327E-4,0.1957815496464459,1.9578154964644589E-4,1.4557180896218767,270979.74975694856,245.3490725070119,0.010535792971830717,0.6635696738502729,9.30270257494401E-7,1.65466949065048,1.836125244866932E8,9.809317131032081,
0.008,45.32281565366506,2.4800068363038327E-4,0.195860258916425,1.9586025891642501E-4,1.455715512990221,271035.2980186628,245.39936672458052,0.010537868471924516,0.7900240914668257,9.30644209064279E-7,1.65466949065048,1.8361595184776965E8,9.80763360733572,
0.009000000000000001,45.3410304921139,2.481003529100249E-4,0.19593898210609342,1.9593898210609344E-4,1.4557129261763262,271090.8451603719,245.44965992807997,0.010539943913764649,0.9165034143846631,9.310182267345623E-7,1.65466949065048,1.836193805864241E8,9.805949406971425,
0.010000000000000002,45.359248546999936,2.482000397896017E-4,0.1960177192038558,1.960177192038558E-4,1.45571032911028,271146.39117464254,245.4999521107799,0.010542019297078032,1.0430076419014642,9.313923104501383E-7,1.65466949065048,1.8362281070290008E8,9.804264529819662,
0.011000000000000003,45.37746981563631,2.482997442544118E-4,0.1960964701981048,1.9609647019810483E-4,1.4557077217222134,271201.9360540386,245.55024326594759,0.0105440946215915,1.1695367733116302,9.317664601558369E-7,1.65466949065048,1.8362624219744065E8,9.802578975760955,
0.012000000000000004,45.39569429533359,2.4839946628973876E-4,0.1961752350772214,1.961752350772214E-4,1.455705103942303,271257.47979112144,245.60053338684807,0.01054616988703179,1.2960908079062825,9.321406757964336E-7,1.65466949065048,1.836296750702888E8,9.800892744675993,
0.013000000000000005,45.4139219833994,2.4849920588085035E-4,0.19625401382957458,1.9625401382957457E-4,1.4557024757007706,271313.02237844997,245.65082246674388,0.01054824509312556,1.4226697449732633,9.325149573166442E-7,1.65466949065048,1.8363310932168734E8,9.799205836445523,
0.014000000000000005,45.43215287713873,2.4859896301299985E-4,0.19633280644352125,1.9633280644352127E-4,1.4556998369278802,271368.56380858016,245.7011104988953,0.010550320239599365,1.5492735837971328,9.328893046611304E-7,1.65466949065048,1.8363654495187876E8,9.797518250950388,
0.015000000000000006,45.45038697385381,2.486987376714252E-4,0.1964116129074066,1.9641161290740662E-4,1.455697187553942,271424.1040740658,245.75139747656033,0.010552395326179683,1.675902323659169,9.332637177744961E-7,1.65466949065048,1.8363998196110547E8,9.795829988071535,
0.016000000000000007,45.46862427084407,2.4879852984134945E-4,0.19649043320956408,1.964904332095641E-4,1.4556945275093107,271479.64316745807,245.80168339299465,0.0105544703525929,1.8025559638373674,9.3363819660129E-7,1.65466949065048,1.8364342034960958E8,9.79414104769003,
0.017000000000000008,45.48686476540624,2.4889833950798054E-4,0.1965692673383148,1.965692673383148E-4,1.455691856724383,271535.1810813053,245.85196824145152,0.010556545318565305,1.9292345036064378,9.340127410860031E-7,1.65466949065048,1.8364686011763313E8,9.792451429686999,
0.01800000000000001,45.50510845483423,2.4899816665651113E-4,0.19664811528196854,1.9664811528196852E-4,1.4556891751296044,271590.71780815365,245.90225201518194,0.01055862022382311,2.0559379422378052,9.343873511730699E-7,1.65466949065048,1.836503012654178E8,9.790761133943715,
0.01900000000000001,45.523355336419286,2.4909801127211915E-4,0.19672697702882258,1.9672697702882258E-4,1.4556864826554599,271646.25334054633,245.9525347074346,0.01056069506809243,2.182666278999607,9.347620268068694E-7,1.65466949065048,1.8365374379320514E8,9.78907016034154,
0.02000000000000001,45.54160540744983,2.4919787333996734E-4,0.19680585256716282,1.9680585256716282E-4,1.4556837792324813,271701.7876710242,246.0028163114558,0.010562769851099293,2.3094195131566955,9.351367679317227E-7,1.65466949065048,1.8365718770123652E8,9.787378508761913,
0.02100000000000001,45.559858665211586,2.4929775284520354E-4,0.196884741885263,1.96884741885263E-4,1.4556810647912446,271757.32079212565,246.0530968204897,0.01056484457256964,2.436197643970631,9.355115744918967E-7,1.65466949065048,1.83660632989753E8,9.785686179086417,
0.022000000000000013,45.57811510698748,2.4939764977296015E-4,0.19696364497138505,1.9696364497138506E-4,1.4556783392623702,271812.8526963863,246.10337622777791,0.010566919232229327,2.563000670699686,9.358864464315993E-7,1.65466949065048,1.8366407965899557E8,9.78399317119667,
0.023000000000000013,45.596374730057676,2.494975641083546E-4,0.19704256181377888,1.9704256181377888E-4,1.4556756025765205,271868.38337633916,246.15365452655982,0.01056899382980411,2.6898285925988423,9.362613836949814E-7,1.65466949065048,1.8366752770920497E8,9.782299484974445,
0.024000000000000014,45.6146375316997,2.495974958364899E-4,0.19712149240068266,1.9712149240068267E-4,1.455672854664405,271923.9128245151,246.20393171007265,0.010571068365019663,2.816681408919788,9.366363862261419E-7,1.65466949065048,1.8367097714062166E8,9.780605120301612,
0.025000000000000015,45.63290350918815,2.4969744494245295E-4,0.19720043672032272,1.9720043672032272E-4,1.4556700954567765,271979.441033442,246.2542077715511,0.01057314283760158,2.94355911891092,9.370114539691175E-7,1.65466949065048,1.836744279534859E8,9.778910077060122,
0.026000000000000016,45.651172659794966,2.497974114113162E-4,0.19727939476091305,1.9727939476091305E-4,1.4556673248844292,272034.9679956453,246.30448270422752,0.01057521724727535,3.0704617218173405,9.373865868678915E-7,1.65466949065048,1.8367788014803794E8,9.777214355132047,
0.027000000000000017,45.669444980789365,2.498973952281372E-4,0.19735836651065622,1.973583665106562E-4,1.4556645428782045,272090.493703648,246.3547565013322,0.010577291593766386,3.1973892168808575,9.377617848663905E-7,1.65466949065048,1.8368133372451758E8,9.775517954399525,
